question,answer
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American Samoa[1],Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla[2],The Valley
Antigua and Barbuda,Saint John's
Argentina,Buenos Aires
Armenia,Yerevan
Aruba[3],Oranjestad
Australia,Canberra
Austria,Vienna
Åland[4],Mariehamn
Azerbaijan,Baku
The Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bermuda[2],Hamilton
Bhutan,Thimphu
Bolivia,La Paz
Bonaire,Kralendijk
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
British Virgin Islands[2],Road Town
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Gitega
Cambodia,Phnom Penh
Cameroon,Yaoundé
Canada,Ottawa
Cape Verde,Praia
Cayman Islands[2],George Town
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China(People's Republic of),Beijing
Christmas Island[6],Flying Fish Cove
Cocos Islands[6],West Island
Colombia,Bogotá
Comoros,Moroni
Republic of the Congo,Brazzaville
Democratic Republic of the Congo,Kinshasa
Cook Islands[7],Avarua
Costa Rica,San José
Côte d'Ivoire(formerly Ivory Coast),Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Curaçao[3],Willemstad
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
Dominican Republic,Santo Domingo
East Timor,Díli
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Eswatini(formerly Swaziland),Mbabane
Ethiopia,Addis Ababa
Falkland Islands[2],Stanley
Faroe Islands[8],Tórshavn
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana[9],Cayenne
French Polynesia[10],Papeete
Gabon,Libreville
The Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar[2],Gibraltar
Greece,Athens
Greenland[8],Nuuk
Grenada,St. George's
Guadeloupe[9],Basse-Terre
Guam[1],HagåtñaformerlyAgaña
Guatemala,Guatemala City
Guernsey[11],Saint Peter Port
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hong Kong[12],Hong Kong
Hungary,Budapest
Iceland,Reykjavík
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Isle of Man[11],Douglas
Israel,Jerusalem(declared)[a]
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jersey[11],St. Helier
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa[13]
North Korea,Pyongyang
South Korea,Seoul
Kosovo[14],Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macau[12],Macau
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Malé
Mali,Bamako
Malta,Valletta
Marshall Islands,Majuro
Martinique[9],Fort-de-France
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte[9],Mamoudzou
Mexico,Mexico City
Federated States of Micronesia,Palikir
Moldova,Chișinău
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat[2],Brades Estate[15]
Morocco,Rabat
Mozambique,Maputo
Myanmar(or Burma),Naypyidaw
Namibia,Windhoek
Nauru,Yaren(de facto)[16]
Nepal,Kathmandu
Netherlands,Amsterdam
New Caledonia[17],Nouméa
New Zealand[18],Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue[7],Alofi
Norfolk Island[6],Kingston
North Macedonia,Skopje
Northern Mariana Islands[1],Saipan
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Palestine[14],East Jerusalem(declared)Ramallah(administrative capital)[b]
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Pitcairn Islands[2],Adamstown
Poland,Warsaw
Portugal,Lisbon
Puerto Rico[1],San Juan
Qatar,Doha
Réunion[9],Saint-Denis
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Saba,The Bottom
Sahrawi Arab Democratic Republic[14],Laayoune
Saint Barthélemy[10],Gustavia
"Saint Helena, Ascension and Tristan da Cunha[2]",Jamestown
Saint Kitts and Nevis,Basseterre
Saint Martin[10],Marigot
Saint Lucia,Castries
Saint Pierre and Miquelon[10],Saint-Pierre
Saint Vincent and the Grenadines,Kingstown
Samoa,Apia
San Marino,San Marino
São Tomé and Príncipe,São Tomé
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Sint Maarten[3],Philipsburg
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,"Pretoria(administrative capital),Cape Town(legislative capital),Bloemfontein, (judicial capital)"
South Sudan,Juba
Spain,Madrid
Sri Lanka,Sri Jayawardenapura Kotte
Sint Eustatius,Oranjestad
Sudan,Khartoum
Suriname,Paramaribo
Svalbard[19],Longyearbyen
Sweden,Stockholm
Switzerland,Bern(de facto)[16]
Syria,Damascus
Taiwan(Republic of China)[14],Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lomé
Tokelau[20],
Tonga,Nukuʻalofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Turks and Caicos Islands[2],Cockburn Town
Tuvalu,Fongafale(inFunafuti)
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,"Washington, D.C."
United States Virgin Islands[1],Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wallis and Futuna[10],Mata Utu
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
